indicator, indicator.label
"EIP_DWAP_SEX_MTS_RT","Inactivity rate by sex and marital status (%)"
"EIP_DWAP_SEX_MTS_DSB_RT","Inactivity rate by sex, marital status and disability status (%)"
"EIP_DWAP_SEX_DSB_RT","Inactivity rate by sex and disability status (%)"
"EIP_NEET_SEX_NB","Youth not in employment, education or training (NEET) by sex (thousands)"
"EIP_NEET_SEX_AGE_NB","Youth not in employment, education or training (NEET) by sex and age (thousands)"
"EIP_NEET_SEX_GEO_NB","Youth not in employment, education or training (NEET) by sex and rural / urban areas (thousands)"
"EIP_NEET_SEX_EDU_NB","Youth not in employment, education or training (NEET) by sex and education (thousands)"
"EIP_NEET_SEX_MTS_NB","Youth not in employment, education or training (NEET) by sex and marital status (thousands)"
"EIP_NEET_SEX_DSB_NB","Youth not in employment, education or training (NEET) by sex and disability status (thousands)"
"EIP_NEET_SEX_RT","Share of youth not in employment, education or training (NEET) by sex (%)"
"EIP_NEET_SEX_AGE_RT","Share of youth not in employment, education or training (NEET) by sex and age (%)"
"EIP_NEET_SEX_GEO_RT","Share of youth not in employment, education or training (NEET) by sex and rural / urban areas (%)"
"EIP_NEET_SEX_EDU_RT","Share of youth not in employment, education or training (NEET) by sex and education (%)"
"EIP_NEET_SEX_MTS_RT","Share of youth not in employment, education or training (NEET) by sex and marital status (%)"
"EIP_NEET_SEX_DSB_RT","Share of youth not in employment, education or training (NEET) by sex and disability status (%)"
"POP_3WAP_SEX_AGE_EDU_NB","Youth working-age population by sex, age and education (thousands)"
"POP_3WAP_SEX_AGE_GEO_NB","Youth working-age population by sex, age and rural / urban areas (thousands)"
"POP_3WAP_SEX_AGE_STU_NB","Youth working-age population by sex, age and school attendance status (thousands)"
"POP_3WAP_SEX_AGE_DSB_NB","Youth working-age population by sex, age and disability status (thousands)"
"POP_3WAP_SEX_AGE_LMS_NB","Youth working-age population by sex, age and labour market status (thousands)"
"POP_3STG_SEX_AGE_TRA_NB","Youth working-age population by sex, age and stages of transition (thousands)"
"POP_3STG_SEX_GEO_TRA_NB","Youth working-age population by sex, rural / urban areas and stages of transition (thousands)"
"POP_3STG_SEX_EDU_TRA_NB","Youth working-age population by sex, education and stages of transition (thousands)"
"POP_3FOR_SEX_AGE_TRA_NB","Youth working-age population by sex, age and forms of transition (thousands)"
"POP_3FOR_SEX_GEO_TRA_NB","Youth working-age population by sex, rural / urban areas and forms of transition (thousands)"
"POP_3FOR_SEX_EDU_TRA_NB","Youth working-age population by sex, education and forms of transition (thousands)"
"POP_3TED_SEX_STE_NB","Youth transited by sex and status in employment (thousands)"
"POP_3TED_SEX_ECO_NB","Youth transited by sex and economic activity (thousands)"
"POP_3TED_SEX_OCU_NB","Youth transited by sex and occupation (thousands)"
"EAP_3EAP_SEX_AGE_EDU_NB","Youth labour force by sex, age and education (thousands)"
"EAP_3EAP_SEX_AGE_GEO_NB","Youth labour force by sex, age and rural / urban areas (thousands)"
"EAP_3EAP_SEX_AGE_STU_NB","Youth labour force by sex, age and school attendance status (thousands)"
"EAP_3EAP_SEX_AGE_DSB_NB","Youth labour force by sex, age and disability status (thousands)"
"EAP_3WAP_SEX_AGE_EDU_RT","Youth labour force participation rate by sex, age and education (%)"
"EAP_3WAP_SEX_AGE_GEO_RT","Youth labour force participation rate by sex, age and rural / urban areas (%)"
"EAP_3WAP_SEX_AGE_DSB_RT","Youth labour force participation rate by sex, age and disability status (%)"
"EAP_3WAP_SEX_AGE_STU_RT","Youth labour force participation rate by sex, age and school attendance status (%)"
"EMP_3EMP_SEX_AGE_EDU_NB","Youth employment by sex, age and education (thousands)"
"EMP_3EMP_SEX_AGE_GEO_NB","Youth employment by sex, age and rural / urban areas (thousands)"
"EMP_3EMP_SEX_AGE_DSB_NB","Youth employment by sex, age and disability status (thousands)"
"EMP_3EMP_SEX_AGE_STU_NB","Youth employment by sex, age and school attendance status (thousands)"
"EMP_3EMP_SEX_AGE_STE_NB","Youth employment by sex, age and status in employment (thousands)"
"EMP_3EMP_SEX_AGE_ECO_NB","Youth employment by sex, age and economic activity (thousands)"
"EMP_3EMP_SEX_AGE_OCU_NB","Youth employment by sex, age and occupation (thousands)"
"EMP_3EMP_SEX_AGE_HOW_NB","Youth employment by sex, age and weekly hours actually worked (thousands)"
"EMP_3EMP_SEX_AGE_JOB_NB","Youth employment by sex, age and working time arrangement (thousands)"
"EMP_3WAP_SEX_AGE_DSB_RT","Youth employment-to-population ratio by sex, age and disability status (%)"
"EMP_3WAP_SEX_AGE_EDU_RT","Youth employment-to-population ratio by sex, age and education (%)"
"EMP_3WAP_SEX_AGE_GEO_RT","Youth employment-to-population ratio by sex, age and rural / urban areas (%)"
"EMP_3WAP_SEX_AGE_STU_RT","Youth employment-to-population ratio by sex, age and school attendance status (%)"
"TRU_3TRU_SEX_AGE_GEO_NB","Youth time-related underemployment by sex, age and rural / urban areas (thousands)"
"EES_3EES_SEX_AGE_JOB_NB","Youth employees by sex, age and type of job contract (thousands)"
"UNE_3UNE_SEX_AGE_EDU_NB","Youth unemployment by sex, age and education (thousands)"
"UNE_3UNE_SEX_AGE_GEO_NB","Youth unemployment by sex, age and rural / urban areas (thousands)"
"UNE_3UNE_SEX_AGE_STU_NB","Youth unemployment by sex, age and school attendance status (thousands)"
"UNE_3UNE_SEX_AGE_DSB_NB","Youth unemployment by sex, age and disability status (thousands)"
"UNE_3EAP_SEX_AGE_DSB_RT","Youth unemployment rate by sex, age and disability status (%)"
"UNE_3UNE_SEX_AGE_CAT_NB","Youth unemployment by sex, age and categories of unemployed persons (thousands)"
"UNE_3UNE_SEX_AGE_DUR_NB","Youth unemployment by sex, age and duration (thousands)"
"UNE_3EAP_SEX_AGE_GEO_RT","Youth unemployment rate by sex, age and rural / urban areas (%)"
"UNE_3EAP_SEX_AGE_EDU_RT","Youth unemployment rate by sex, age and education (%)"
"UNE_3EAP_SEX_AGE_STU_RT","Youth unemployment rate by sex, age and school attendance status (%)"
"UNE_3WAP_SEX_AGE_STU_RT","Youth unemployment-to-population ratio by sex, age and school attendance status (%)"
"UNE_3WAP_SEX_AGE_DSB_RT","Youth unemployment-to-population ratio by sex, age and disability status (%)"
"UNE_3WAP_SEX_AGE_GEO_RT","Youth unemployment-to-population ratio by sex, age and rural / urban areas (%)"
"UNE_3WAP_SEX_AGE_EDU_RT","Youth unemployment-to-population ratio by sex, age and education (%)"
"EIP_3EIP_SEX_AGE_GEO_NB","Youth outside the labour force by sex, age and rural / urban areas (thousands)"
"EIP_3EIP_SEX_AGE_EDU_NB","Youth outside the labour force by sex, age and education (thousands)"
"EIP_3EIP_SEX_AGE_STU_NB","Youth outside the labour force by sex, age and school attendance status (thousands)"
"EIP_3EIP_SEX_AGE_DSB_NB","Youth outside the labour force by sex, age and disability status (thousands)"
"EIP_3DIS_SEX_AGE_GEO_NB","Youth discouraged job-seekers by sex, age and rural / urban areas (thousands)"
"EIP_3WAP_SEX_AGE_GEO_RT","Youth inactivity rate by sex, age and rural / urban areas (%)"
"EIP_3WAP_SEX_AGE_EDU_RT","Youth inactivity rate by sex, age and education (%)"
"EIP_3WAP_SEX_AGE_STU_RT","Youth inactivity rate by sex, age and school attendance status (%)"
"EIP_3WAP_SEX_AGE_DSB_RT","Youth inactivity rate by sex, age and disability status (%)"
"HOW_TEMP_SEX_AGE_ECO_NB","Mean weekly hours actually worked per employed person by sex, age and economic activity"
"HOW_TEMP_SEX_AGE_OCU_NB","Mean weekly hours actually worked per employed person by sex, age and occupation"
"HOW_TEMP_SEX_AGE_INS_NB","Mean weekly hours actually worked per employed person by sex, age and public/private sector"
"HOW_TEMP_SEX_AGE_JOB_NB","Mean weekly hours actually worked per employed person by sex, age and working time arrangement"
"HOW_TEMP_SEX_ECO_NB","Mean weekly hours actually worked per employed person by sex and economic activity"
"HOW_TEMP_SEX_ECO_EDU_NB","Mean weekly hours actually worked per employed person by sex, economic activity and education"
"HOW_TEMP_SEX_ECO_GEO_NB","Mean weekly hours actually worked per employed person by sex, economic activity and rural / urban areas"
"HOW_TEMP_SEX_ECO_MTS_NB","Mean weekly hours actually worked per employed person by sex, economic activity and marital status"
"HOW_TEMP_SEX_ECO_DSB_NB","Mean weekly hours actually worked per employed person by sex, economic activity and disability status"
"HOW_TEMP_ECO_OCU_NB","Mean weekly hours actually worked per employed person by economic activity and occupation"
"HOW_TEMP_SEX_ECO_INS_NB","Mean weekly hours actually worked per employed person by sex, economic activity and public/private sector"
"HOW_TEMP_SEX_ECO_EST_NB","Mean weekly hours actually worked per employed person by sex, economic activity and establishment size"
"HOW_TEMP_SEX_EC2_NB","Mean weekly hours actually worked per employed person by sex and economic activity - ISIC level 2"
"HOW_TEMP_AGE_EC2_NB","Mean weekly hours actually worked per employed person by age and economic activity - ISIC level 2"
"HOW_TEMP_SEX_OCU_NB","Mean weekly hours actually worked per employed person by sex and occupation"
"HOW_TEMP_SEX_OCU_EDU_NB","Mean weekly hours actually worked per employed person by sex, occupation and education"
"HOW_TEMP_SEX_OCU_GEO_NB","Mean weekly hours actually worked per employed person by sex, occupation and rural / urban areas"
"HOW_TEMP_SEX_OCU_MTS_NB","Mean weekly hours actually worked per employed person by sex, occupation and marital status"
"HOW_TEMP_SEX_OCU_DSB_NB","Mean weekly hours actually worked per employed person by sex, occupation and disability status"
"HOW_TEMP_SEX_OCU_INS_NB","Mean weekly hours actually worked per employed person by sex, occupation and public/private sector"
"HOW_TEMP_SEX_OCU_EST_NB","Mean weekly hours actually worked per employed person by sex, occupation and establishment size"
"HOW_TEMP_SEX_OC2_NB","Mean weekly hours actually worked per employed person by sex and occupation - ISCO level 2"
"HOW_TEMP_AGE_OC2_NB","Mean weekly hours actually worked per employed person by age and occupation - ISCO level 2"
"HOW_TEMP_SEX_INS_NB","Mean weekly hours actually worked per employed person by sex and public/private sector"
"HOW_TEMP_SEX_INS_GEO_NB","Mean weekly hours actually worked per employed person by sex, public/private sector and rural/urban areas"
"HOW_TEMP_SEX_INS_MTS_NB","Mean weekly hours actually worked per employed person by sex, public/private sector and marital status"
"HOW_TEMP_SEX_INS_DSB_NB","Mean weekly hours actually worked per employed person by sex, public/private sector and disability status"
"HOW_TEMP_SEX_EST_NB","Mean weekly hours actually worked per employed person by sex and establishment size"
"HOW_TEMP_SEX_EST_GEO_NB","Mean weekly hours actually worked per employed person by sex, establishment size and rural / urban areas"
"HOW_TEMP_SEX_EST_MTS_NB","Mean weekly hours actually worked per employed person by sex, establishment size and marital status"
"HOW_TEMP_SEX_EST_DSB_NB","Mean weekly hours actually worked per employed person by sex, establishment size and disability status"
"HOW_UEMP_SEX_NB","Mean weekly hours usually worked per employed person by sex"
"HOW_XEES_SEX_AGE_ECO_NB","Mean weekly hours actually worked per employee by sex, age and economic activity"
"HOW_XEES_SEX_AGE_OCU_NB","Mean weekly hours actually worked per employee by sex, age and occupation"
"HOW_XEES_SEX_AGE_INS_NB","Mean weekly hours actually worked per employee by sex, age and public/private sector"
"HOW_XEES_SEX_AGE_JOB_NB","Mean weekly hours actually worked per employee by sex, age and type of job contract"
"HOW_XEES_SEX_ECO_NB","Mean weekly hours actually worked per employee by sex and economic activity"
"HOW_XEES_SEX_ECO_EDU_NB","Mean weekly hours actually worked per employee by sex, economic activity and education"
"HOW_XEES_SEX_ECO_GEO_NB","Mean weekly hours actually worked per employee by sex, economic activity and rural / urban areas"
"HOW_XEES_SEX_ECO_MTS_NB","Mean weekly hours actually worked per employee by sex, economic activity and marital status"
"HOW_XEES_SEX_ECO_DSB_NB","Mean weekly hours actually worked per employee by sex, economic activity and disability status"
"HOW_XEES_ECO_OCU_NB","Mean weekly hours actually worked per employee by economic activity and occupation"
"HOW_XEES_SEX_ECO_INS_NB","Mean weekly hours actually worked per employee by sex, economic activity and public/private sector"
"HOW_XEES_SEX_ECO_EST_NB","Mean weekly hours actually worked per employee by sex, economic activity and establishment size"
"HOW_XEES_SEX_EC2_NB","Mean weekly hours actually worked per employee by sex and economic activity - ISIC level 2"
"HOW_XEES_AGE_EC2_NB","Mean weekly hours actually worked per employee by age and economic activity - ISIC level 2"
"HOW_XEES_SEX_OCU_NB","Mean weekly hours actually worked per employee by sex and occupation"
"HOW_XEES_SEX_OCU_EDU_NB","Mean weekly hours actually worked per employee by sex, occupation and education"
"HOW_XEES_SEX_OCU_GEO_NB","Mean weekly hours actually worked per employee by sex, occupation and rural / urban areas"
"HOW_XEES_SEX_OCU_MTS_NB","Mean weekly hours actually worked per employee by sex, occupation and marital status"
"HOW_XEES_SEX_OCU_DSB_NB","Mean weekly hours actually worked per employee by sex, occupation and disability status"
"HOW_XEES_SEX_OCU_INS_NB","Mean weekly hours actually worked per employee by sex, occupation and public/private sector"
"HOW_XEES_SEX_OCU_EST_NB","Mean weekly hours actually worked per employee by sex, occupation and establishment size"
"HOW_XEES_SEX_OC2_NB","Mean weekly hours actually worked per employee by sex and occupation - ISCO level 2"
"HOW_XEES_AGE_OC2_NB","Mean weekly hours actually worked per employee by age and occupation - ISCO level 2"
"HOW_XEES_SEX_INS_NB","Mean weekly hours actually worked per employee by sex and public/private sector"
"HOW_XEES_SEX_INS_GEO_NB","Mean weekly hours actually worked per employee by sex, public/private sector and rural/urban areas"
"HOW_XEES_SEX_INS_MTS_NB","Mean weekly hours actually worked per employee by sex, public/private sector and marital status"
"HOW_XEES_SEX_INS_DSB_NB","Mean weekly hours actually worked per employee by sex, public/private sector and disability status"
"HOW_XEES_SEX_EST_NB","Mean weekly hours actually worked per employee by sex and establishment size"
"HOW_XEES_SEX_EST_GEO_NB","Mean weekly hours actually worked per employee by sex, establishment size and rural / urban areas"
"HOW_XEES_SEX_EST_MTS_NB","Mean weekly hours actually worked per employee by sex, establishment size and marital status"
"HOW_XEES_SEX_EST_DSB_NB","Mean weekly hours actually worked per employee by sex, establishment size and disability status"
"GED_PHOW_SEX_HHT_CHL_NB","Mean weekly hours actually worked of prime-age employed persons by sex, household type and presence of children"
"GED_PHOW_SEX_HHT_GEO_NB","Mean weekly hours actually worked of prime-age employed persons by sex, household type and rural / urban areas"
"HOW_UEES_SEX_NB","Mean weekly hours usually worked per employee by sex"
"EAR_4MTH_SEX_ECO_CUR_NB","Average monthly earnings of employees by sex and economic activity"
"EAR_4MTH_SEX_OCU_CUR_NB","Average monthly earnings of employees by sex and occupation"
"EAR_4MTH_SEX_DSB_CUR_NB","Average monthly earnings of employees by sex and disability status"
"GED_PEAR_SEX_HHT_CHL_NB","Mean nominal monthly earnings of prime-age employees by sex, household type and presence of children (local currency)"
"GED_PEAR_SEX_HHT_GEO_NB","Mean nominal monthly earnings of prime-age employees by sex, household type and rural / urban areas (local currency)"
"EAR_XEES_SEX_ECO_NB","Mean nominal monthly earnings of employees by sex and economic activity (local currency)"
"EAR_4HRL_SEX_OCU_CUR_NB","Average hourly earnings of employees by sex and occupation"
"EAR_4MMN_CUR_NB","Statutory nominal gross monthly minimum wage"
"EAR_XTLP_SEX_RT","Low pay rate by sex (%)"
"EAR_XFLS_NOC_RT","Female share of low pay earners (%)"
"EAR_GGAP_OCU_RT","Gender wage gap by occupation (%)"
"CPI_XCPI_COI_RT","National consumer price index (CPI) by COICOP (2017 = 100)"
"CPI_NCPD_COI_RT","National consumer price index (CPI) by COICOP, percentage change from previous period (%)"
"CPI_NCYR_COI_RT","National consumer price index (CPI) by COICOP, percentage change from previous year (%)"
"CPI_NWGT_COI_RT","National consumer price index (CPI) by COICOP, country weights (%)"
"CPI_ACPI_COI_RT","National consumer price index (CPI), annual rate of change - discontinued (%)"
"CPI_MCPI_COI_RT","National consumer price index (CPI), monthly rate of change - discontinued (%)"
"LAC_4HRL_ECO_CUR_NB","Mean nominal hourly labour cost per employee by economic activity"
"INJ_DAYS_SEX_MIG_NB","Days lost due to cases of occupational injury with temporary incapacity for work by sex and migrant status"
"INJ_DAYS_ECO_NB","Days lost due to cases of occupational injury with temporary incapacity for work by economic activity"
"INJ_FATL_SEX_MIG_NB","Cases of fatal occupational injury by sex and migrant status"
"INJ_FATL_ECO_NB","Cases of fatal occupational injury by economic activity"
"INJ_NFTL_SEX_MIG_NB","Cases of non-fatal occupational injury by sex and migrant status"
"INJ_NFTL_ECO_NB","Cases of non-fatal occupational injury by economic activity"
"INJ_NFTL_INJ_ECO_NB","Cases of non-fatal occupational injury by type of incapacity and economic activity"
"INJ_NFTL_SEX_INJ_MIG_NB","Cases of non-fatal occupational injury by sex, type of incapacity and migrant status"
"INJ_FATL_SEX_MIG_RT","Fatal occupational injuries per 100'000 workers by sex and migrant status"
"INJ_FATL_ECO_RT","Fatal occupational injuries per 100'000 workers by economic activity"
"INJ_NFTL_SEX_MIG_RT","Non-fatal occupational injuries per 100'000 workers by sex and migrant status"
"INJ_NFTL_ECO_RT","Non-fatal occupational injuries per 100'000 workers by economic activity"
"LAI_WOPL_NOC_NB","Registered workplaces that could be selected for labour inspection"
"LAI_INSP_SEX_NB","Number of labour inspectors by sex"
"LAI_VIST_NOC_NB","Number of labour inspection visits to workplaces during the year"
"LAI_INDE_NOC_RT","Inspectors per 10'000 employed persons"
"LAI_VDIN_NOC_RT","Labour inspection visits per inspector"
"ILR_TUMT_NOC_RT","Trade union density rate (%)"
"ILR_CBCT_NOC_RT","Collective bargaining coverage rate (%)"
"STR_TSTR_ECO_NB","Number of strikes and lockouts by economic activity"
"STR_DAYS_ECO_NB","Days not worked due to strikes and lockouts by economic activity"
"STR_WORK_ECO_NB","Workers involved in strikes and lockouts by economic activity (thousands)"
"STR_DAYS_ECO_RT","Days not worked per 1000 workers due to strikes and lockouts by economic activity (per 1000 workers)"
"MST_XWAP_SEX_AGE_CBR_NB","Working-age population by sex, age and place of birth (thousands)"
"MST_XWAP_SEX_AGE_CCT_NB","Working-age population by sex, age and citizenship (thousands)"
"MST_XWAP_SEX_EDU_CBR_NB","Working-age population by sex, education and place of birth (thousands)"
"MST_XWAP_SEX_EDU_CCT_NB","Working-age population by sex, education and citizenship (thousands)"
"MNA_TPOP_SEX_CRS_NB","Stock of nationals abroad by sex and country of residence (thousands)"
"MFL_FPOP_SEX_CBR_NB","Inflow of working-age foreign-born population by sex and country of birth (thousands)"
"MFL_NCIT_SEX_CCT_NB","Inflow of working age foreign citizens by sex and country of citizenship (thousands)"
"MFL_FWAP_SEX_EDU_NB","Inflow of working-age foreign-born population by sex and education (thousands)"
"MFL_NWAP_SEX_EDU_NB","Inflow of working age foreign citizens by sex and education (thousands)"
"MNA_XRET_SEX_CPR_NB","Inflow of nationals returned from abroad by sex and country of previous residence (thousands)"
"MFL_FEMP_SEX_ECO_NB","Inflow of employed foreign-born population by sex and economic activity (thousands)"
"MST_FORP_SEX_CBR_NB","Working-age foreign-born population by sex and country of birth (thousands)"
"MFL_NEMP_SEX_ECO_NB","Inflow of employed foreign citizens by sex and economic activity (thousands)"
"MFL_FEMP_SEX_OCU_NB","Inflow of employed foreign-born population by sex and occupation (thousands)"
"MFL_NEMP_SEX_OCU_NB","Inflow of employed foreign citizens by sex and occupation (thousands)"
"MNA_OPOP_SEX_CDS_NB","Outflow of nationals by sex and country of destination (thousands)"
"MST_NCTP_SEX_CCT_NB","Working age foreign citizens by sex and country of citizenship (thousands)"
"MST_TEAP_SEX_AGE_CBR_NB","Labour force by sex, age and place of birth (thousands)"
"MST_TEAP_SEX_AGE_CCT_NB","Labour force by sex, age and citizenship (thousands)"
"MST_TEAP_SEX_AGE_CBR_RT","Labour force participation rate by sex, age and place of birth (%)"
"MST_TEAP_SEX_AGE_CCT_RT","Labour force participation rate by sex, age and citizenship (%)"
"MST_TEAP_SEX_EDU_CBR_NB","Labour force by sex, education and place of birth (thousands)"
"MST_TEAP_SEX_EDU_CCT_NB","Labour force by sex, education and citizenship (thousands)"
"MST_TEAP_SEX_EDU_CBR_RT","Labour force participation rate by sex, education and place of birth (%)"
"MST_TEAP_SEX_EDU_CCT_RT","Labour force participation rate by sex, education and citizenship (%)"
"MST_TEMP_SEX_AGE_CBR_NB","Employment by sex, age and place of birth (thousands)"
"MST_TEMP_SEX_AGE_CCT_NB","Employment by sex, age and citizenship (thousands)"
"MST_TEMP_SEX_EDU_CBR_NB","Employment by sex, education and place of birth (thousands)"
"MST_TEMP_SEX_EDU_CCT_NB","Employment by sex, education and citizenship (thousands)"
"MST_TEMP_SEX_ECO_CBR_NB","Employment by sex, economic activity and place of birth (thousands)"
"MST_TEMP_SEX_ECO_CCT_NB","Employment by sex, economic activity and citizenship (thousands)"
"MST_TEMP_SEX_OCU_CBR_NB","Employment by sex, occupation and place of birth (thousands)"
"MST_TEMP_SEX_OCU_CCT_NB","Employment by sex, occupation and citizenship (thousands)"
"MST_TEMP_SEX_STE_CBR_NB","Employment by sex, status in employment and place of birth (thousands)"
"MST_TEMP_SEX_STE_CCT_NB","Employment by sex, status in employment and citizenship (thousands)"
"MST_TEMP_SEX_AGE_CBR_RT","Employment-to-population ratio by sex, age and place of birth (%)"
"MST_TEMP_SEX_AGE_CCT_RT","Employment-to-population ratio by sex, age and citizenship (%)"
"MST_TEMP_SEX_EDU_CBR_RT","Employment-to-population ratio by sex, education and place of birth (%)"
"MST_TEMP_SEX_EDU_CCT_RT","Employment-to-population ratio by sex, education and citizenship (%)"
"MST_FORE_SEX_CBR_NB","Employed foreign-born population by sex and country of birth (thousands)"
"MST_NCTE_SEX_CCT_NB","Employed foreign citizens by sex and country of citizenship (thousands)"
"MNA_OEMP_SEX_CDS_NB","Outflow of nationals for employment by sex and country of destination (thousands)"
"MNA_OEMP_SEX_EDU_NB","Outflow of nationals for employment by sex and education (thousands)"
"MNA_OEMP_SEX_ECO_NB","Outflow of nationals for employment by sex and economic activity (thousands)"
"MNA_OEMP_SEX_OCU_NB","Outflow of nationals for employment by sex and occupation (thousands)"
"MST_TUNE_SEX_AGE_CBR_NB","Unemployment by sex, age and place of birth (thousands)"
"MST_TUNE_SEX_AGE_CCT_NB","Unemployment by sex, age and citizenship (thousands)"
"MST_TUNE_SEX_EDU_CBR_NB","Unemployment by sex, education and place of birth (thousands)"
"MST_TUNE_SEX_EDU_CCT_NB","Unemployment by sex, education and citizenship (thousands)"
"MST_TUNE_SEX_AGE_CBR_RT","Unemployment rate by sex, age and place of birth (%)"
"MST_TUNE_SEX_AGE_CCT_RT","Unemployment rate by sex, age and citizenship (%)"
"MST_TUNE_SEX_EDU_CBR_RT","Unemployment rate by sex, education and place of birth (%)"
"MST_TUNE_SEX_EDU_CCT_RT","Unemployment rate by sex, education and citizenship (%)"
"MST_EARA_SEX_CBR_NB","Mean nominal monthly earnings of employees by sex and place of birth (local currency)"
"MST_EARA_SEX_CCT_NB","Mean nominal monthly earnings of employees by sex and citizenship (local currency)"
"MST_TEIP_SEX_AGE_CBR_NB","Persons outside the labour force by sex, age and place of birth (in thousands)"
"MST_TEIP_SEX_AGE_CCT_NB","Persons outside the labour force by sex, age and citizenship (in thousands)"
"MST_TEIP_SEX_AGE_CBR_RT","Inactivity rate by sex, age and place of birth (%)"
"MST_TEIP_SEX_AGE_CCT_RT","Inactivity rate by sex, age and citizenship (%)"
"MST_TEIP_SEX_EDU_CBR_NB","Persons outside the labour force by sex, education and place of birth (in thousands)"
"MST_TEIP_SEX_EDU_CCT_NB","Persons outside the labour force by sex, education and citizenship (in thousands)"
"MST_TEIP_SEX_EDU_CBR_RT","Inactivity rate by sex, education and place of birth (%)"
"MST_TEIP_SEX_EDU_CCT_RT","Inactivity rate by sex, education and citizenship (%)"
"EIP_NEET_SEX_CBR_NB","Youth not in employment, education or training (NEET) by sex and place of birth (thousands)"
"EIP_NEET_SEX_CCT_NB","Youth not in employment, education or training (NEET) by sex and citizenship (thousands)"
"EIP_NEET_SEX_CBR_RT","Share of youth not in employment, education or training (NEET) by sex and place of birth (%)"
"EIP_NEET_SEX_CCT_RT","Share of youth not in employment, education or training (NEET) by sex and citizenship (%)"
"EMP_CARE_SEX_CAT_NB","Employment by sex and care worker type  (thousands)"
"EMP_CARE_SEX_AGE_NB","Care employment by sex and age (thousands)"
"EMP_CARE_SEX_EDU_NB","Care employment by sex and education (thousands)"
"EMP_CARE_SEX_MTS_NB","Care employment by sex and marital status (thousands)"
"EMP_CARE_SEX_GEO_NB","Care employment by sex and rural / urban areas (thousands)"
"EMP_CARE_SEX_CCT_NB","Care employment by sex and citizenship (thousands)"
"EMP_CARE_SEX_CBR_NB","Care employment by sex and place of birth (thousands)"
"EMP_CARE_SEX_STE_NB","Care employment by sex and status in employment  (thousands)"
"EMP_CARE_SEX_ECO_NB","Care employment by sex and economic activity (thousands)"
"EMP_CARE_SEX_EC2_NB","Care employment by sex and economic activity - ISIC level 2 (thousands)"
"EMP_CARE_SEX_OCU_NB","Care employment by sex and occupation (thousands)"
"EMP_CARE_SEX_OC2_NB","Care employment by sex and occupation - ISCO level 2 (thousands)"
"EMP_CARE_SEX_HOW_NB","Care employment by sex and weekly hours actually worked (thousands)"
"EMP_CARE_SEX_JOB_NB","Care employment by sex and working time arrangement (thousands)"
"EES_CARE_SEX_INS_NB","Care employees by sex and public/private sector (thousands)"
"EES_CARE_SEX_JOB_NB","Care employees by sex and type of contract (thousands)"
"EES_XPLV_SEX_RT","Share of employees with access to parental leave by sex (%)"
"EMP_CNIF_SEX_NB","Informal care employment by sex (thousands)"
"EMP_CNIF_SEX_RT","Informal care employment rate by sex (%)"
"EMP_CPIF_SEX_NB","Care employment outside the formal sector by sex (thousands)"
"EMP_CPIF_SEX_RT","Share of care employment outside the formal sector by sex (%)"
"HOW_EARE_SEX_NB","Mean weekly hours actually worked per employee in care employment by sex"
"HOW_CARE_SEX_NB","Mean weekly hours actually worked per person in care employment by sex"
"EAR_CARE_SEX_NB","Mean nominal monthly earnings of care employees by sex (local currency)"
"EAR_HARE_SEX_NB","Mean nominal hourly earnings of care employees by sex (local currency)"
"EMP_SNIF_SEX_NB","Informal employment in STEM occupations (thousands)"
"EMP_SNIF_SEX_RT","Informal employment in STEM occupations rate (%)"
"EMP_SPIF_SEX_NB","Employment in STEM occupations outside the formal sector (thousands)"
"EMP_SPIF_SEX_RT","Share of employment in STEM occupations outside the formal sector (%)"
"EMP_STEM_SEX_AGE_NB","Employment in STEM occupations by sex and age (thousands)"
"EMP_STEM_SEX_CBR_NB","Employment in STEM occupations by sex and place of birth (thousands)"
"EMP_STEM_SEX_CCT_NB","Employment in STEM occupations by sex and citizenship (thousands)"
"EMP_STEM_SEX_EC2_NB","Employment in STEM occupations by sex and economic activity - ISIC level 2 (thousands)"
"EMP_STEM_SEX_ECO_NB","Employment in STEM occupations by sex and economic activity (thousands)"
"EMP_STEM_SEX_EDU_NB","Employment in STEM occupations by sex and education (thousands)"
"EMP_STEM_SEX_GEO_NB","Employment in STEM occupations by sex and rural / urban areas (thousands)"
"EMP_STEM_SEX_HOW_NB","Employment in STEM occupations by sex and weekly hours actually worked (thousands)"
"EMP_STEM_SEX_JOB_NB","Employment in STEM occupations by sex and working time arrangement (thousands)"
"EMP_STEM_SEX_MTS_NB","Employment in STEM occupations by sex and marital status (thousands)"
"EMP_STEM_SEX_OC2_NB","Employment in STEM occupations by sex and occupation - ISCO level 2 (thousands)"
"EMP_STEM_SEX_OCU_NB","Employment in STEM occupations by sex and occupation (thousands)"
"EMP_STEM_SEX_STE_NB","Employment in STEM occupations by sex and status in employment (thousands)"
"EES_STEM_SEX_INS_NB","Employees in STEM occupations by sex and public/private sector (thousands)"
"EES_STEM_SEX_JOB_NB","Employees in STEM occupations by sex and type of job contract (thousands)"
"HOW_STEM_SEX_NB","Mean weekly hours actually worked per person in in a STEM occupation"
"HOW_STEE_SEX_NB","Mean weekly hours actually worked per employee in a STEM occupation"
"EAR_STEM_SEX_NB","Mean nominal monthly earnings of STEM employees"
"EAR_4MCR_SEX_CUR_NB","Average monthly earnings of care employees by sex and currency"
